ReportedYear,GeoDivision,Category,Subtype,Count_,CountCleared
2014,D41,Crimes Against Property,Auto Theft,238,37
2014,D41,Crimes Against Property,Break & Enter-Apartment,141,27
2014,D41,Crimes Against Property,Break & Enter-Commercial,204,57
2014,D41,Crimes Against Property,Break & Enter-House,245,65
2014,D41,Crimes Against Property,Break & Enter-Other,53,12
2014,D41,Crimes Against Property,Fraud,411,118
2014,D41,Crimes Against Property,Other,775,320
2014,D41,Crimes Against Property,Theft Over $5000,42,17
2014,D41,Crimes Against Property,Theft Under $5000,2432,1050
2014,D41,Crimes Against the Person,Assault,1227,795
2014,D41,Crimes Against the Person,Attempt Murder,5,3
2014,D41,Crimes Against the Person,Other,389,212
2014,D41,Crimes Against the Person,Robbery-Financial,8,7
2014,D41,Crimes Against the Person,Robbery-Other,285,108
2014,D41,Crimes Against the Person,Sexual Violation,127,65
2014,D41,Criminal Code Traffic ,Other,158,152
2014,D41,Other Criminal Code Violations,Other,1240,1164
2014,D41,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,97,87
2014,D41,Other Federal Statute Violations,Other,37,34
2014,D42,Controlled Drugs and Substances Act,Other,208,196
2015,D11,Crimes Against the Person,Other,217,130
2014,D54/D55,Crimes Against Property,Break & Enter-Apartment,180,61
2015,D11,Crimes Against the Person,Robbery-Financial,7,7
2015,D11,Crimes Against the Person,Robbery-Other,158,71
2015,D11,Crimes Against the Person,Sexual Violation,99,64
2015,D11,Criminal Code Traffic ,Other,91,89
2015,D11,Other Criminal Code Violations,Other,592,556
2015,D11,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,57,55
2015,D11,Other Federal Statute Violations,Other,12,11
2015,D12,Controlled Drugs and Substances Act,Other,382,365
2015,D12,Crimes Against Property,Auto Theft,238,34
2015,D12,Crimes Against Property,Break & Enter-Apartment,91,33
2015,D12,Crimes Against Property,Break & Enter-Commercial,54,24
2015,D12,Crimes Against Property,Break & Enter-House,86,24
2015,D12,Crimes Against Property,Break & Enter-Other,20,4
2015,D12,Crimes Against Property,Fraud,308,77
2015,D12,Crimes Against Property,Other,496,200
2015,D12,Crimes Against Property,Theft Over $5000,38,14
2015,D12,Crimes Against Property,Theft Under $5000,1224,587
2015,D12,Crimes Against the Person,Assault,680,507
2015,D12,Crimes Against the Person,Attempt Murder,6,2
2015,D12,Crimes Against the Person,Other,239,156
2015,D12,Crimes Against the Person,Robbery-Financial,2,2
2015,D12,Crimes Against the Person,Robbery-Other,161,79
2015,D12,Crimes Against the Person,Sexual Violation,99,54
2015,D12,Criminal Code Traffic ,Other,87,84
2015,D12,Other Criminal Code Violations,Other,531,497
2015,D12,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,81,79
2015,D12,Other Federal Statute Violations,Other,26,26
2015,D13,Controlled Drugs and Substances Act,Other,183,180
2015,D13,Crimes Against Property,Auto Theft,129,22
2015,D13,Crimes Against Property,Break & Enter-Apartment,66,12
2015,D13,Crimes Against Property,Break & Enter-Commercial,54,26
2015,D13,Crimes Against Property,Break & Enter-House,133,37
2015,D13,Crimes Against Property,Break & Enter-Other,18,10
2015,D13,Crimes Against Property,Fraud,269,138
2015,D13,Crimes Against Property,Other,470,203
2015,D13,Crimes Against Property,Theft Over $5000,32,9
2015,D13,Crimes Against Property,Theft Under $5000,1051,334
2015,D13,Crimes Against the Person,Assault,550,426
2015,D13,Crimes Against the Person,Attempt Murder,3,3
2015,D13,Crimes Against the Person,Other,177,102
2015,D13,Crimes Against the Person,Robbery-Financial,2,2
2015,D13,Crimes Against the Person,Robbery-Other,97,44
2015,D13,Crimes Against the Person,Sexual Violation,79,45
2015,D13,Criminal Code Traffic ,Other,111,111
2014,D54/D55,Crimes Against Property,Break & Enter-Commercial,105,34
2015,D13,Other Criminal Code Violations,Other,334,307
2014,D54/D55,Crimes Against Property,Break & Enter-House,365,117
2015,D13,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,42,42
2015,D13,Other Federal Statute Violations,Other,29,29
2015,D14,Controlled Drugs and Substances Act,Other,488,473
2015,D14,Crimes Against Property,Auto Theft,168,42
